column_name,category,discharges,percentage
Hospital Service Area,New York City,963525,45.3263
Hospital Service Area,Long Island,346694,16.3092
Hospital Service Area,Hudson Valley,237546,11.1747
Hospital Service Area,Western NY,138654,6.5226
Hospital Service Area,Finger Lakes,137867,6.4856
Hospital Service Area,Capital/Adirond,136764,6.4337
Hospital Service Area,Central NY,133188,6.2654
Hospital Service Area,Southern Tier,26183,1.2317
Hospital Service Area,[MISSING],5333,0.2509
Hospital County,Manhattan,377402,17.7538
Hospital County,Kings,192427,9.0522
Hospital County,Nassau,186298,8.7639
Hospital County,Queens,181164,8.5223
Hospital County,Bronx,160474,7.549
Hospital County,Suffolk,160396,7.5454
Hospital County,Westchester,121205,5.7017
Hospital County,Erie,109117,5.1331
Hospital County,Monroe,104812,4.9306
Hospital County,Onondaga,68839,3.2383
Hospital County,Albany,58601,2.7567
Hospital County,Richmond,52058,2.4489
Hospital County,Dutchess,36387,1.7117
Hospital County,Orange,36113,1.6988
Hospital County,Rockland,30655,1.4421
Hospital County,Broome,24945,1.1735
Hospital County,Oneida,23362,1.099
Hospital County,Schenectady,14493,0.6818
Hospital County,Warren,11989,0.564
Hospital County,Ontario,10903,0.5129
Hospital County,Saratoga,10411,0.4898
Hospital County,Jefferson,10257,0.4825
Hospital County,Otsego,10233,0.4814
Hospital County,Rensselaer,9814,0.4617
Hospital County,Chemung,8792,0.4136
Hospital County,Clinton,7766,0.3653
Hospital County,Niagara,7348,0.3457
Hospital County,Chautauqua,7236,0.3404
Hospital County,St Lawrence,7084,0.3332
Hospital County,Ulster,6247,0.2939
Hospital County,Cattaraugus,6093,0.2866
Hospital County,Tompkins,5950,0.2799
Hospital County,Steuben,5594,0.2632
Hospital County,[MISSING],5333,0.2509
Hospital County,Wayne,5041,0.2371
Hospital County,Genesee,4971,0.2338
Hospital County,Oswego,4624,0.2175
Hospital County,Cayuga,4485,0.211
Hospital County,Montgomery,3743,0.1761
Hospital County,Cortland,3710,0.1745
Hospital County,Sullivan,3649,0.1717
Hospital County,Madison,3412,0.1605
Hospital County,Putnam,3290,0.1548
Hospital County,Columbia,2961,0.1393
Hospital County,Franklin,2949,0.1387
Hospital County,Fulton,2350,0.1105
Hospital County,Livingston,2143,0.1008
Hospital County,Allegany,1913,0.09
Hospital County,Wyoming,1772,0.0834
Hospital County,Chenango,1238,0.0582
Hospital County,Lewis,784,0.0369
Hospital County,Herkimer,681,0.032
Hospital County,Essex,635,0.0299
Hospital County,Schoharie,422,0.0199
Hospital County,Delaware,397,0.0187
Hospital County,Yates,311,0.0146
Hospital County,Schuyler,271,0.0127
Hospital County,Orleans,204,0.0096
Operating Certificate Number,7002054,152632,7.1801
Operating Certificate Number,7002053,117158,5.5114
Operating Certificate Number,7003004,83367,3.9218
Operating Certificate Number,7000006,75200,3.5376
Operating Certificate Number,7002024,58581,2.7558
Operating Certificate Number,1401014,53666,2.5246
Operating Certificate Number,2951001,53106,2.4982
Operating Certificate Number,7002032,42287,1.9893
Operating Certificate Number,2701005,40987,1.9281
Operating Certificate Number,5151001,40117,1.8872
Operating Certificate Number,7004003,38445,1.8085
Operating Certificate Number,0101000,36208,1.7033
Operating Certificate Number,5957001,33864,1.593
Operating Certificate Number,7002017,31167,1.4662
Operating Certificate Number,7001020,31076,1.4619
Operating Certificate Number,3301007,30861,1.4518
Operating Certificate Number,7002001,28262,1.3295
Operating Certificate Number,7003010,28247,1.3288
Operating Certificate Number,2701003,27740,1.3049
Operating Certificate Number,7000002,27362,1.2872
Operating Certificate Number,5154001,25904,1.2186
Operating Certificate Number,7002020,25186,1.1848
Operating Certificate Number,5154000,24623,1.1583
Operating Certificate Number,7000001,24366,1.1462
Operating Certificate Number,5902001,24149,1.136
Operating Certificate Number,0101004,22538,1.0602
Operating Certificate Number,1302001,21892,1.0298
Operating Certificate Number,5153000,20943,0.9852
Operating Certificate Number,3523000,20615,0.9698
Operating Certificate Number,7003000,20588,0.9685
Operating Certificate Number,3301008,20317,0.9558
Operating Certificate Number,7002002,20115,0.9463
Operating Certificate Number,2950001,20036,0.9425
Operating Certificate Number,7001002,19686,0.9261
Operating Certificate Number,2953000,19499,0.9173
Operating Certificate Number,2754001,19161,0.9014
Operating Certificate Number,7001016,17857,0.84
Operating Certificate Number,3301003,17661,0.8308
Operating Certificate Number,4329000,17438,0.8203
Operating Certificate Number,7000008,17376,0.8174
Operating Certificate Number,1401008,17184,0.8084
Operating Certificate Number,2701001,16924,0.7961
Operating Certificate Number,0303001,16421,0.7725
Operating Certificate Number,7003003,15720,0.7395
Operating Certificate Number,1401005,15272,0.7184
Operating Certificate Number,2950002,15203,0.7152
Operating Certificate Number,5907001,14899,0.7009
Operating Certificate Number,7000014,14116,0.664
Operating Certificate Number,7001009,13918,0.6547
Operating Certificate Number,7004010,13613,0.6404
Operating Certificate Number,7003001,12478,0.587
Operating Certificate Number,4601001,12450,0.5857
Operating Certificate Number,3202003,12264,0.5769
Operating Certificate Number,7003007,12188,0.5733
Operating Certificate Number,1401013,12068,0.5677
Operating Certificate Number,7001035,12038,0.5663
Operating Certificate Number,5601000,11989,0.564
Operating Certificate Number,4324000,11797,0.555
Operating Certificate Number,7001003,11749,0.5527
Operating Certificate Number,2909000,11595,0.5455
Operating Certificate Number,5157003,10889,0.5122
Operating Certificate Number,5155000,10827,0.5093
Operating Certificate Number,7002009,10786,0.5074
Operating Certificate Number,3522000,10707,0.5037
Operating Certificate Number,4501000,10411,0.4898
Operating Certificate Number,5920000,10277,0.4835
Operating Certificate Number,5149001,10125,0.4763
Operating Certificate Number,7002012,9768,0.4595
Operating Certificate Number,4102002,9669,0.4549
Operating Certificate Number,3824000,9104,0.4283
Operating Certificate Number,7001024,9068,0.4266
Operating Certificate Number,2201000,9039,0.4252
Operating Certificate Number,0701000,8792,0.4136
Operating Certificate Number,5123000,8594,0.4043
Operating Certificate Number,0301001,8524,0.401
Operating Certificate Number,5149000,8374,0.3939
Operating Certificate Number,2952005,8167,0.3842
Operating Certificate Number,7001045,8161,0.3839
Operating Certificate Number,5901000,8038,0.3781
Operating Certificate Number,7002021,7787,0.3663
Operating Certificate Number,0901001,7766,0.3653
Operating Certificate Number,3202002,7477,0.3517
Operating Certificate Number,7001037,7234,0.3403
Operating Certificate Number,5932000,7226,0.3399
Operating Certificate Number,2952006,6285,0.2957
Operating Certificate Number,5501000,6161,0.2898
Operating Certificate Number,0602001,6096,0.2868
Operating Certificate Number,0401001,6093,0.2866
Operating Certificate Number,1327000,6063,0.2852
Operating Certificate Number,1404000,5959,0.2803
Operating Certificate Number,5401001,5950,0.2799
Operating Certificate Number,2901000,5703,0.2683
Operating Certificate Number,3429000,5593,0.2631
Operating Certificate Number,5907002,5537,0.2605
Operating Certificate Number,5904001,5496,0.2585
Operating Certificate Number,[MISSING],5333,0.2509
Operating Certificate Number,5820000,5041,0.2371
Operating Certificate Number,1801000,4971,0.2338
Operating Certificate Number,4429000,4843,0.2278
Operating Certificate Number,3702000,4624,0.2175
Operating Certificate Number,5001000,4499,0.2116
Operating Certificate Number,7001008,4492,0.2113
Operating Certificate Number,0501000,4485,0.211
Operating Certificate Number,1401010,4272,0.201
Operating Certificate Number,3102000,3885,0.1828
Operating Certificate Number,2801001,3743,0.1761
Operating Certificate Number,1101000,3710,0.1745
Operating Certificate Number,3201002,3621,0.1703
Operating Certificate Number,5263000,3557,0.1673
Operating Certificate Number,3950000,3290,0.1548
Operating Certificate Number,3121001,3282,0.1544
Operating Certificate Number,1001000,2961,0.1393
Operating Certificate Number,5902002,2848,0.134
Operating Certificate Number,3421000,2800,0.1317
Operating Certificate Number,3535001,2705,0.1272
Operating Certificate Number,2601001,2661,0.1252
Operating Certificate Number,3402000,2510,0.1181
Operating Certificate Number,7000011,2389,0.1124
Operating Certificate Number,1701000,2350,0.1105
Operating Certificate Number,1623001,2187,0.1029
Operating Certificate Number,2527000,2143,0.1008
Operating Certificate Number,3529000,2086,0.0981
Operating Certificate Number,4601004,2043,0.0961
Operating Certificate Number,5903001,1936,0.0911
