column_name,missing_n,unique_n,missing_pct
Birth Weight,1921751.0,81,90.40326397127797
Payment Typology 3,1843136.0,9,86.70504677399173
Payment Typology 2,1114046.0,9,52.40709884586834
CCSR Procedure Code,611024.0,320,28.743871586270096
CCSR Procedure Description,611024.0,320,28.743871586270096
Zip Code - 3 digits,41883.0,50,1.970265609284988
Permanent Facility Id,5333.0,207,0.2508756892848373
Operating Certificate Number,5333.0,160,0.2508756892848373
Hospital County,5333.0,57,0.2508756892848373
Hospital Service Area,5333.0,8,0.2508756892848373
APR Severity of Illness Description,474.0,4,0.022297970508346688
APR Risk of Mortality,474.0,4,0.022297970508346688
Total Charges,0.0,1864848,0.0
Total Costs,0.0,1616535,0.0
CCSR Diagnosis Code,0.0,482,0.0
CCSR Diagnosis Description,0.0,482,0.0
APR DRG Code,0.0,335,0.0
APR DRG Description,0.0,335,0.0
Facility Name,0.0,206,0.0
Length of Stay,0.0,120,0.0
APR MDC Code,0.0,26,0.0
APR MDC Description,0.0,26,0.0
Patient Disposition,0.0,19,0.0
Payment Typology 1,0.0,9,0.0
Type of Admission,0.0,6,0.0
Age Group,0.0,5,0.0
APR Severity of Illness Code,0.0,5,0.0
Race,0.0,4,0.0
Ethnicity,0.0,4,0.0
Gender,0.0,3,0.0
APR Medical Surgical Description,0.0,3,0.0
Emergency Department Indicator,0.0,2,0.0
Discharge Year,0.0,1,0.0
