column_name,column_type,null,key,default,extra
Hospital Service Area,VARCHAR,YES,,,
Hospital County,VARCHAR,YES,,,
Operating Certificate Number,VARCHAR,YES,,,
Permanent Facility Id,VARCHAR,YES,,,
Facility Name,VARCHAR,YES,,,
Age Group,VARCHAR,YES,,,
Zip Code - 3 digits,VARCHAR,YES,,,
Gender,VARCHAR,YES,,,
Race,VARCHAR,YES,,,
Ethnicity,VARCHAR,YES,,,
Length of Stay,VARCHAR,YES,,,
Type of Admission,VARCHAR,YES,,,
Patient Disposition,VARCHAR,YES,,,
Discharge Year,VARCHAR,YES,,,
CCSR Diagnosis Code,VARCHAR,YES,,,
CCSR Diagnosis Description,VARCHAR,YES,,,
CCSR Procedure Code,VARCHAR,YES,,,
CCSR Procedure Description,VARCHAR,YES,,,
APR DRG Code,VARCHAR,YES,,,
APR DRG Description,VARCHAR,YES,,,
APR MDC Code,VARCHAR,YES,,,
APR MDC Description,VARCHAR,YES,,,
APR Severity of Illness Code,VARCHAR,YES,,,
APR Severity of Illness Description,VARCHAR,YES,,,
APR Risk of Mortality,VARCHAR,YES,,,
APR Medical Surgical Description,VARCHAR,YES,,,
Payment Typology 1,VARCHAR,YES,,,
Payment Typology 2,VARCHAR,YES,,,
Payment Typology 3,VARCHAR,YES,,,
Birth Weight,VARCHAR,YES,,,
Emergency Department Indicator,VARCHAR,YES,,,
Total Charges,VARCHAR,YES,,,
Total Costs,VARCHAR,YES,,,
