source_field,source_value,discharges,percentage,target_group,mapping_action,mapping_status,mapping_rationale
APR Risk of Mortality,Minor,1073037,50.4779,Minor,RETAIN,APPROVED,Retain the released APR mortality-risk categories.
APR Risk of Mortality,Moderate,455080,21.4079,Moderate,RETAIN,APPROVED,Retain the released APR mortality-risk categories.
APR Risk of Mortality,Major,399457,18.7913,Major,RETAIN,APPROVED,Retain the released APR mortality-risk categories.
APR Risk of Mortality,Extreme,197706,9.3005,Extreme,RETAIN,APPROVED,Retain the released APR mortality-risk categories.
APR Risk of Mortality,[MISSING],474,0.0223,Missing / Not Available,MISSING,APPROVED,Classified as unavailable and excluded from metrics requiring a known category.
APR Severity of Illness Description,Moderate,785246,36.9396,Moderate,RETAIN,APPROVED,Retain the released APR severity categories.
APR Severity of Illness Description,Minor,627605,29.5239,Minor,RETAIN,APPROVED,Retain the released APR severity categories.
APR Severity of Illness Description,Major,504585,23.7368,Major,RETAIN,APPROVED,Retain the released APR severity categories.
APR Severity of Illness Description,Extreme,207844,9.7774,Extreme,RETAIN,APPROVED,Retain the released APR severity categories.
APR Severity of Illness Description,[MISSING],474,0.0223,Missing / Not Available,MISSING,APPROVED,Classified as unavailable and excluded from metrics requiring a known category.
Age Group,70 or Older,665216,31.2932,70 or Older,RETAIN,APPROVED,Retain the released age bands because they already provide business-readable demographic categories.
Age Group,50 to 69,569293,26.7808,50 to 69,RETAIN,APPROVED,Retain the released age bands because they already provide business-readable demographic categories.
Age Group,30 to 49,412490,19.4044,30 to 49,RETAIN,APPROVED,Retain the released age bands because they already provide business-readable demographic categories.
Age Group,0 to 17,296035,13.9261,0 to 17,RETAIN,APPROVED,Retain the released age bands because they already provide business-readable demographic categories.
Age Group,18 to 29,182720,8.5955,18 to 29,RETAIN,APPROVED,Retain the released age bands because they already provide business-readable demographic categories.
Emergency Department Indicator,Y,1335889,62.8431,Y,RETAIN,APPROVED,Retain the released binary Y/N categories.
Emergency Department Indicator,N,789865,37.1569,N,RETAIN,APPROVED,Retain the released binary Y/N categories.
Patient Disposition,Home or Self Care,1405879,66.1355,Home or Self Care,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Home w/ Home Health Services,281903,13.2613,Home w/ Home Health Services,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Skilled Nursing Home,200275,9.4214,Skilled Nursing Home,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Left Against Medical Advice,58445,2.7494,Left Against Medical Advice,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Expired,53845,2.533,Expired,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
Patient Disposition,Short-term Hospital,36246,1.7051,Short-term Hospital,RETAIN,APPROVED,Retain released disposition detail to avoid hiding materially different post-discharge settings.
