table_name,column_name,data_type,column_role,source_fields,default_summarization,hidden_in_report,description,status
FactDischarge,hospital_key,Whole number,Foreign key,Permanent Facility Id,Do not summarize,True,Resolves each discharge to DimHospital.,PLANNED
FactDischarge,date_key,Whole number,Foreign key,Discharge Year,Do not summarize,True,Resolves each discharge to annual DimDate.,PLANNED
FactDischarge,service_key,Whole number,Foreign key,APR DRG Code|APR MDC Code,Do not summarize,True,Resolves each discharge to DimService using the APR-DRG and APR MDC composite natural key.,PLANNED
FactDischarge,case_mix_key,Whole number,Foreign key,APR Severity of Illness Code|APR Risk of Mortality,Do not summarize,True,Resolves each discharge to DimCaseMix.,PLANNED
FactDischarge,diagnosis_key,Whole number,Foreign key,CCSR Diagnosis Code,Do not summarize,True,Resolves each discharge to DimDiagnosis.,PLANNED
FactDischarge,procedure_key,Whole number,Foreign key,CCSR Procedure Code,Do not summarize,True,Resolves each discharge to DimProcedure.,PLANNED
FactDischarge,patient_segment_key,Whole number,Foreign key,Age Group|Gender|Race|Ethnicity,Do not summarize,True,Resolves each discharge to DimPatientSegment.,PLANNED
FactDischarge,geography_key,Whole number,Foreign key,Zip Code - 3 digits,Do not summarize,True,Resolves each discharge to DimGeography.,PLANNED
FactDischarge,payer_key,Whole number,Foreign key,Payment Typology 1,Do not summarize,True,Resolves each discharge to DimPayer.,PLANNED
FactDischarge,admission_context_key,Whole number,Foreign key,Type of Admission|Patient Disposition|Emergency Department Indicator,Do not summarize,True,Resolves each discharge to DimAdmissionContext.,PLANNED
FactDischarge,source_record_key,Whole number,Technical row key,,Do not summarize,True,Unique row ordinal scoped to the audited source snapshot. It is not a patient identifier or durable discharge identifier.,PLANNED
FactDischarge,los_days_lower_bound,Whole number,Additive value,Length of Stay,Sum,True,Observable LOS lower bound after representing 120+ as 120.,PLANNED
FactDischarge,is_top_coded_los,Whole number,Validity flag,Length of Stay,Sum,True,Equals 1 when the released LOS is top-coded; otherwise 0.,PLANNED
FactDischarge,is_valid_los,Whole number,Validity flag,Length of Stay,Sum,True,Equals 1 when LOS is valid for LOS calculations.,PLANNED
FactDischarge,total_charges,Fixed decimal number,Additive value,Total Charges,Sum,True,Valid positive released total charges.,PLANNED
FactDischarge,is_valid_charge,Whole number,Validity flag,Total Charges,Sum,True,Equals 1 when Total Charges is numeric and positive.,PLANNED
FactDischarge,total_costs,Fixed decimal number,Additive value,Total Costs,Sum,True,Valid positive released estimated total costs.,PLANNED
FactDischarge,is_valid_cost,Whole number,Validity flag,Total Costs,Sum,True,Equals 1 when Total Costs is numeric and positive.,PLANNED
FactDischarge,is_paired_financial_valid,Whole number,Validity flag,Total Charges|Total Costs,Sum,True,Equals 1 when charges and costs are both valid on the same discharge.,PLANNED
FactDischarge,peer_expected_los_days,Decimal number,Additive benchmark value,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,Sum,True,Leave-one-facility-out expected LOS lower bound. Not populated by this notebook.,DEFERRED_BENCHMARK_BUILD
FactDischarge,los_peer_comparison_n,Whole number,Benchmark diagnostic,Permanent Facility Id|APR DRG Code|APR Severity of Illness Code|Length of Stay,Do not summarize,True,Comparison-discharge count at the selected peer level after excluding the benchmarked facility.,DEFERRED_BENCHMARK_BUILD
