relationship_name,from_table,from_column,to_table,to_column,cardinality,cross_filter_direction,active,unknown_member_key,validation_rule
DimHospital[hospital_key] -> FactDischarge[hospital_key],DimHospital,hospital_key,FactDischarge,hospital_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimDate[date_key] -> FactDischarge[date_key],DimDate,date_key,FactDischarge,date_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimService[service_key] -> FactDischarge[service_key],DimService,service_key,FactDischarge,service_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimCaseMix[case_mix_key] -> FactDischarge[case_mix_key],DimCaseMix,case_mix_key,FactDischarge,case_mix_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimDiagnosis[diagnosis_key] -> FactDischarge[diagnosis_key],DimDiagnosis,diagnosis_key,FactDischarge,diagnosis_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimProcedure[procedure_key] -> FactDischarge[procedure_key],DimProcedure,procedure_key,FactDischarge,procedure_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimPatientSegment[patient_segment_key] -> FactDischarge[patient_segment_key],DimPatientSegment,patient_segment_key,FactDischarge,patient_segment_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimGeography[geography_key] -> FactDischarge[geography_key],DimGeography,geography_key,FactDischarge,geography_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimPayer[payer_key] -> FactDischarge[payer_key],DimPayer,payer_key,FactDischarge,payer_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
DimAdmissionContext[admission_context_key] -> FactDischarge[admission_context_key],DimAdmissionContext,admission_context_key,FactDischarge,admission_context_key,One-to-many (1:*),Single,True,0,Dimension key must be unique; every fact value must resolve to a dimension key or key 0.
